"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"92","Mahanagar Gas Limited","MGL","P&F | F.A","-5.63%","1237.5","5,45,196"
"152","Birlasoft Ltd","BSOFT","P&F | F.A","-5.7%","424.05","13,19,352"
"171","Wipro Limited","WIPRO","P&F | F.A","-5.72%","277.65","1,74,58,839"
"130","Container Corporation Of India Limited","CONCOR","P&F | F.A","-5.86%","623.7","27,45,693"
"120","Titagarh Rail Systems Ltd","TITAGARH","P&F | F.A","-5.96%","697","23,43,034"
"122","Tata Technologies Ltd","TATATECH","P&F | F.A","-6.08%","671.75","33,34,724"
"195","Indian Renewable Energy Development Agency Ltd","IREDA","P&F | F.A","-6.3%","156.02","3,42,88,352"
"77","Tech Mahindra Limited","TECHM","P&F | F.A","-6.32%","1487.85","41,55,992"
"161","Oil India Limited","OIL","P&F | F.A","-6.34%","342.7","59,47,063"
"181","Jio Financial Services Ltd","JIOFIN","P&F | F.A","-6.36%","207.61","5,08,55,490"
"203","Indian Railway Finance Corporation Ltd","IRFC","P&F | F.A","-6.6%","112.42","2,89,27,630"
"129","Jubilant Foodworks Limited","JUBLFOOD","P&F | F.A","-6.68%","626.1","44,78,047"
"20","Multi Commodity Exchange Of India Limited","MCX","P&F | F.A","-7.08%","4991.65","7,78,948"
"140","Chambal Fertilizers & Chemicals Limited","CHAMBLFERT","P&F | F.A","-7.14%","533.7","47,46,549"
"150","Granules India Limited","GRANULES","P&F | F.A","-8.91%","461.8","48,92,837"
"27","BSE (Bombay stock exchange)","BSE","P&F | F.A","-10.24%","4633.7","71,79,306"
