"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"37","Godfrey Phillips India Limited","GODFRYPHLP","P&F | F.A","-1.7%","5326.35","1,15,916"
"145","Hcl Technologies Limited","HCLTECH","P&F | F.A","-1.73%","1557.95","20,91,986"
"18","Gillette India Limited","GILLETTE","P&F | F.A","-1.74%","7861.35","22,818"
"99","Mphasis Limited","MPHASIS","P&F | F.A","-1.74%","2302.25","3,14,701"
"131","Infosys Limited","INFY","P&F | F.A","-1.74%","1686","80,19,331"
"428","Godawari Power And Ispat Limited","GPIL","P&F | F.A","-1.74%","179.04","28,42,522"
"437","Rajesh Exports Limited","RAJESHEXPO","P&F | F.A","-1.74%","160.96","5,59,486"
"56","BSE (Bombay stock exchange)","BSE","P&F | F.A","-1.77%","4178.3","36,80,483"
"307","Archean Chemical Industries Ltd","ACI","P&F | F.A","-1.83%","531.7","5,33,552"
"215","PVR Inox Ltd","PVRINOX","P&F | F.A","-1.84%","962.75","3,18,772"
"55","Jk Cement Limited","JKCEMENT","P&F | F.A","-1.85%","4421.55","1,41,631"
"387","Gujarat State Petronet Limited","GSPL","P&F | F.A","-1.86%","288.2","6,39,386"
"209","Max Healthcare Institute Ltd","MAXHEALTH","P&F | F.A","-1.92%","980.75","13,23,765"
"72","Kei Industries Limited","KEI","P&F | F.A","-1.93%","3223.85","4,54,725"
"181","Central Depository Services Ltd","CDSL","P&F | F.A","-1.96%","1152.9","38,11,591"
"357","General Insurance Corporation of India","GICRE","P&F | F.A","-1.96%","382.4","3,89,877"
"373","Hindustan Petroleum Corporation Limited","HINDPETRO","P&F | F.A","-1.98%","332.45","38,25,464"
"395","Jindal Saw Limited","JINDALSAW","P&F | F.A","-2%","267.25","18,03,732"
"107","Blue Star Limited","BLUESTARCO","P&F | F.A","-2.02%","2100.75","9,26,367"
"409","Nlc India Limited","NLCINDIA","P&F | F.A","-2.03%","225.04","19,77,800"
"167","Raymond Limited","RAYMOND","P&F | F.A","-2.04%","1330.05","2,94,168"
"214","CreditAccess Grameen Ltd","CREDITACC","P&F | F.A","-2.06%","964.75","16,41,015"
"439","Gail (india) Limited","GAIL","P&F | F.A","-2.06%","158.14","1,25,54,271"
"49","LTI Mindtree Ltd","LTIM","P&F | F.A","-2.1%","4721.95","3,24,150"
"284","Shriram Finance Ltd","SHRIRAMFIN","P&F | F.A","-2.1%","630.85","58,29,062"
"403","Delhivery Ltd","DELHIVERY","P&F | F.A","-2.12%","255.45","12,03,015"
"406","Castrol India Limited","CASTROLIND","P&F | F.A","-2.12%","240.67","1,28,84,050"
"164","Ipca Laboratories Limited","IPCALAB","P&F | F.A","-2.13%","1333.1","1,33,695"
"178","Global Health Ltd","MEDANTA","P&F | F.A","-2.14%","1226.2","3,08,865"
"51","Interglobe Aviation Limited","INDIGO","P&F | F.A","-2.2%","4657.55","8,43,155"
"191","Macrotech Developers Ltd","LODHA","P&F | F.A","-2.21%","1113","12,92,906"
"183","Prestige Estates Projects Limited","PRESTIGE","P&F | F.A","-2.29%","1144.85","11,35,938"
"77","Escorts Limited","ESCORTS","P&F | F.A","-2.3%","3011.1","1,07,291"
"500","Idea Cellular Limited","IDEA","P&F | F.A","-2.33%","7.55","32,41,03,970"
"432","FSN E-Commerce Ventures Ltd","NYKAA","P&F | F.A","-2.35%","164.79","1,16,33,901"
"171","Rainbow Childrens Medicare Ltd","RAINBOW","P&F | F.A","-2.37%","1282.25","2,56,656"
"8","Dixon Technologies","DIXON","P&F | F.A","-2.42%","13911.25","2,01,480"
"376","Ntpc Limited","NTPC","P&F | F.A","-2.47%","329.55","89,92,315"
"317","Akums Drugs & Pharmaceuticals Ltd","AKUMS","P&F | F.A","-2.48%","503.6","1,42,747"
"79","Cummins India Limited","CUMMINSIND","P&F | F.A","-2.49%","2899.05","2,80,406"
"204","Inox India Ltd","INOXINDIA","P&F | F.A","-2.52%","1001.4","3,22,844"
"314","Krishna Institute of Medical Sciences Ltd","KIMS","P&F | F.A","-2.56%","512.5","8,03,558"
"351","CIE Automotive India Ltd","CIEINDIA","P&F | F.A","-2.67%","399.15","2,72,751"
"111","Godrej Properties Limited","GODREJPROP","P&F | F.A","-2.74%","2008.35","7,17,411"
"288","Fortis Healthcare Limited","FORTIS","P&F | F.A","-2.95%","629.5","11,97,982"
"269","One 97 Communications Ltd","PAYTM","P&F | F.A","-3.04%","684.85","50,08,551"
"251","Aegis Logistics Ltd","AEGISLOG","P&F | F.A","-3.18%","750.05","13,84,414"
"21","Oracle Financial Services Software Limited","OFSS","P&F | F.A","-3.27%","7569.1","3,07,003"
"220","Indusind Bank Limited","INDUSINDBK","P&F | F.A","-3.6%","936.75","77,37,031"
"415","Zomato Ltd","ZOMATO","P&F | F.A","-3.81%","216.83","4,38,64,788"
"170","Mahanagar Gas Limited","MGL","P&F | F.A","-3.93%","1284","9,59,525"
"10","Hitachi Energy India Ltd","POWERINDIA","P&F | F.A","-4.14%","13049.35","1,11,677"
"339","Kalyan Jewellers India Ltd","KALYANKJIL","P&F | F.A","-4.15%","431.7","1,17,62,843"
